site_id,site_name,country,region,latitude,longitude,system_type,capacity_m3h,modules,kg_deployed,status,installed_date,last_replaced,next_replacement,active_months,dry_months,area_ha,depth_m,baseline_p_mgL,target_p_mgL,baseline_n_mgL,target_n_mgL,ekr_score,ekr_target
AA01,Aa en Maas,Netherlands,Limburg,51.052,5.853,Myco Container,10,8,80,Operational,2026-03-12,2026-06-14,2026-07-31,9,3,11.11,1.8,0.42,0.084,4.2,1.8,0.54,0.5
WB02,Witteberg,South Africa,Free State,-28.65,26.35,Myco Container,10,8,80,Operational,2026-02-20,2026-06-02,2026-07-18,9,3,9.4,2.1,0.38,0.08,3.9,1.6,0.58,0.5
VN03,Mekong Delta,Vietnam,Can Tho,10.033,105.787,Myco Islands,15,12,120,Operational,2026-01-15,2026-05-28,2026-07-12,8,4,24.6,1.5,0.55,0.1,5.1,2.0,0.49,0.5
IN04,Punjab,India,Punjab,30.901,75.857,Myco Container,20,16,160,Operational,2025-12-05,2026-06-20,2026-08-04,7,5,31.2,2.4,0.61,0.12,6.3,2.4,0.44,0.5
BR05,Sao Paulo,Brazil,Sao Paulo,-23.5505,-46.6333,Myco Islands,12,10,100,Operational,2026-04-01,2026-06-25,2026-08-09,10,2,18.7,1.9,0.47,0.09,4.6,1.9,0.51,0.5
US06,Central Valley,USA,California,36.7378,-119.7871,Myco Container,25,20,200,Commissioning,2026-07-10,-,-,8,4,42.0,2.6,0.58,0.11,5.9,2.2,0.0,0.5
AU07,Murray-Darling,Australia,NSW,-33.8688,148.3228,Myco Islands,18,14,140,Commissioning,2026-06-18,-,-,9,3,27.5,2.0,0.5,0.095,4.8,1.95,0.0,0.5
EG08,Nile Delta,Egypt,Giza,30.0444,31.2357,Myco Container,14,10,100,Planned,-,-,-,8,4,22.1,1.7,0.63,0.12,6.5,2.5,0.0,0.5
ES09,Andalusia,Spain,Seville,37.3891,-5.9845,Myco Islands,12,10,100,Planned,-,-,-,9,3,16.9,1.8,0.44,0.085,4.1,1.7,0.0,0.5
BD10,Ganges,Bangladesh,Dhaka,23.8103,90.4125,Myco Container,16,12,120,Planned,-,-,-,7,5,29.3,1.6,0.66,0.13,6.8,2.6,0.0,0.5
IT11,Po Valley,Italy,Lombardy,45.4642,10.0196,Myco Islands,13,10,100,Commissioning,2026-08-01,-,-,9,3,19.8,2.2,0.49,0.09,4.7,1.85,0.0,0.5
IL12,Jordan Valley,Israel,Northern,32.7157,35.5715,Myco Container,11,8,80,Planned,-,-,-,8,4,14.2,1.9,0.52,0.1,5.2,2.1,0.0,0.5
ID13,Java,Indonesia,West Java,-6.9175,107.6191,Myco Islands,17,14,140,Planned,-,-,-,8,4,26.4,1.7,0.57,0.11,5.6,2.3,0.0,0.5
KE14,Rift Valley,Kenya,Nakuru,-0.3031,36.08,Myco Container,12,10,100,Planned,-,-,-,9,3,20.5,2.0,0.46,0.09,4.4,1.8,0.0,0.5
